Level,Year,Category,Line Item,Quantity,Unit Cost,Subtotal,Notes
,,,,,,,"JusticeHub Budget - Detailed Breakdown - All Amounts in AUD"
,,,,,,,"All staff costs include 30% on-costs (superannuation, payroll tax, workers compensation, leave loading)"
,,,,,,,"Prepared for Mindaroo Foundation | October 2025"
,,,,,,,
LEVEL 1,Year 1,Platform Development,Initial build (Webflow/WordPress customisation),1,$140000,$140000,"Platform foundation using existing tools"
LEVEL 1,Year 1,Platform Development,UX/UI design,1,$40000,$40000,"User experience and interface design"
LEVEL 1,Year 1,Platform Development,Security & hosting setup,1,$25000,$25000,"Security protocols and cloud hosting"
LEVEL 1,Year 1,Platform Development,Documentation & training materials,1,$20000,$20000,"User guides and training resources"
LEVEL 1,Year 1,Platform Development,Young Indigenous developer training (2 trainees),2,$20000,$40000,"Training stipends for trainees"
LEVEL 1,Year 1,Platform Development,Technical mentorship,1,$15000,$15000,"Mentorship for trainees"
LEVEL 1,Year 1,Platform Development Subtotal,,,,,$280000,
LEVEL 1,Year 1,Staff Costs,Platform Manager (1.0 FTE × 0.5 year),0.5,$120000,$60000,"Base salary"
LEVEL 1,Year 1,Staff Costs,Content Developer (1.0 FTE × 0.5 year),0.5,$105000,$52500,"Indigenous storyteller"
LEVEL 1,Year 1,Staff Costs,Community Liaison (2.0 FTE × 0.5 year),1,$95000,$95000,"Regional connectors (2 people)"
LEVEL 1,Year 1,Staff Costs,Technical Developer (1.0 FTE × 0.5 year),0.5,$115000,$57500,"Platform maintenance"
LEVEL 1,Year 1,Staff Costs,Project Director (1.0 FTE × 0.5 year),0.5,$145000,$72500,"Overall coordination"
LEVEL 1,Year 1,Staff Costs,Base salaries subtotal,,,,$337500,
LEVEL 1,Year 1,Staff Costs,On-costs (30% of base),,,,$101250,"Super, payroll tax, insurance, leave"
LEVEL 1,Year 1,Staff Costs,Training stipends (2 trainees × 0.5 year),2,$10000,$20000,"Trainee payments"
LEVEL 1,Year 1,Staff Costs Subtotal,,,,,$458750,
LEVEL 1,Year 1,Community Engagement,Flights (4 visits × 3 communities × $1200),12,$1200,$14400,"Quarterly visits to 3 communities"
LEVEL 1,Year 1,Community Engagement,Accommodation (4 visits × 3 nights × 3 communities × $200),36,$200,$7200,"3 nights per visit"
LEVEL 1,Year 1,Community Engagement,Vehicle hire,1,$1000,$1000,"Ground transport"
LEVEL 1,Year 1,Community Engagement,Community payments for time/knowledge,3,$11667,$35000,"Compensating communities"
LEVEL 1,Year 1,Community Engagement,Annual gathering (50 people 2 days),1,$35000,$35000,"Venue catering travel"
LEVEL 1,Year 1,Community Engagement,Advisory panel compensation (8 × $2K × 3 meetings),24,$1000,$24000,"Panel member payments"
LEVEL 1,Year 1,Community Engagement Subtotal,,,,,$116600,
LEVEL 1,Year 1,Content Creation,Video production (8 community stories),8,$6250,$50000,"Professional video work"
LEVEL 1,Year 1,Content Creation,Audio/podcast setup,1,$15000,$15000,"Podcast infrastructure"
LEVEL 1,Year 1,Content Creation,Photography,1,$8000,$8000,"Visual content"
LEVEL 1,Year 1,Content Creation,Story gathering fees to communities,1,$15000,$15000,"Payment to communities"
LEVEL 1,Year 1,Content Creation,Training community members in content creation,1,$7000,$7000,"Capacity building"
LEVEL 1,Year 1,Content Creation Subtotal,,,,,$95000,
LEVEL 1,Year 1,Operations & Admin,Office/co-working space,1,$35000,$35000,"Workspace for team"
LEVEL 1,Year 1,Operations & Admin,IT infrastructure (laptops software cloud),1,$30000,$30000,"Technology needs"
LEVEL 1,Year 1,Operations & Admin,Insurance,1,$22000,$22000,"Public liability professional indemnity"
LEVEL 1,Year 1,Operations & Admin,Accounting/legal,1,$28000,$28000,"Professional services"
LEVEL 1,Year 1,Operations & Admin,Phone/internet,1,$12000,$12000,"Communications"
LEVEL 1,Year 1,Operations & Admin,HR/payroll,1,$12000,$12000,"HR administration"
LEVEL 1,Year 1,Operations & Admin,Professional development,1,$18000,$18000,"Staff training"
LEVEL 1,Year 1,Operations & Admin,Contingency,1,$28000,$28000,"Unexpected costs"
LEVEL 1,Year 1,Operations & Admin Subtotal,,,,,$185000,
LEVEL 1,Year 1,TOTAL YEAR 1,,,,,$1135350,"$1.1M - $1.5M range"
,,,,,,,
LEVEL 1,Year 2,Platform Enhancements,Feature additions based on learning,1,$60000,$60000,"User feedback improvements"
LEVEL 1,Year 2,Platform Enhancements,Young Indigenous developers work,1,$40000,$40000,"Trainees taking on more"
LEVEL 1,Year 2,Platform Enhancements,Mobile app development,1,$20000,$20000,"Mobile functionality"
LEVEL 1,Year 2,Platform Enhancements Subtotal,,,,,$120000,
LEVEL 1,Year 2,Staff Costs,Base salaries (6 FTE full year),6,$112500,$675000,"Full team"
LEVEL 1,Year 2,Staff Costs,On-costs (30%),,,,$202500,
LEVEL 1,Year 2,Staff Costs,Training stipends (2 trainees full year),2,$15000,$30000,
LEVEL 1,Year 2,Staff Costs Subtotal,,,,,$907500,"Note: Starting to reduce external developer reliance"
LEVEL 1,Year 2,Community Engagement,Expanded travel (5 communities now),1,$95000,$95000,"More community visits"
LEVEL 1,Year 2,Community Engagement,Community payments,5,$10000,$50000,
LEVEL 1,Year 2,Community Engagement,Bi-annual gatherings,2,$22500,$45000,
