Organisation Name,Organisation Type,Primary Focus,Service Area,Target Age Group,Key Services
5-Partners Project,Cultural Program,Indigenous Youth Empowerment,Queensland,Indigenous youth,"Cultural initiatives, Self-empowerment, Holistic learning"
ABCN,Workplace Mentoring,Education Support,Multiple locations,High school students,Corporate mentoring; Workplace exposure; Skill development[18]
Aboriginal and Torres Strait Islander Community Health Service,Health Service,Indigenous Youth Health,Multiple locations,0-25,Health services; Mental health; Cultural support
Aboriginal and Torres Strait Islander Wellbeing Services,Indigenous Service,Cultural Wellbeing,Queensland,Indigenous youth,"Cultural healing, Wellbeing support, Mental health services"
Act for Kids,Non-Government Organization,Child Protection,Statewide,0-18,Therapy; Family support; Education
Adam Wenitong Youth Response Program,Community Initiative,Youth Reoffending Prevention,Toowoomba,Re-offending youth,"Immediate response, Cultural mentoring, First Nations connection"
Adam Wenitong Youth Response Program,Community Initiative,Youth Reoffending Prevention,Toowoomba,Re-offending youth,"Immediate response, Cultural mentoring, First Nations connection"
AFL Cape York,Community Organization,Youth Development,Portsmith,Youth,Sports programs; Youth engagement; Life skills development; Indigenous support
After Care Service,Support Service,Post-Care Support,Queensland,Youth exiting care,Transition support; Housing assistance; Life skills development[7]
Aggression Replacement Training,Behavioral Program,Violence Reduction,Queensland,Youth with aggressive behaviors,"Anger management, Moral reasoning, Social skills development"
Anglicare Central Queensland,Non-Government Organization,Youth Support,Central Queensland,8-21,Family relationships; Education engagement; Safe living
Anglicare Southern Queensland,Non-Government Organization,Youth Justice Support,South-East Queensland,10-17,Bail Support Program; Intensive Family Partnership; Community Co-responder
Anglicare Youth Support Program,Non-Government Organization,Youth Support,Parramatta Park,Youth,Support services; Case management; Referrals; Youth development
ASPIRE Townsville,Non-Government Organization,Youth Support,Aitkenvale,Youth,Youth engagement; Support services; Community connection
Aurukun Youth Support Service,Non-Government Organization,Youth Support,Aurukun,Youth,Remote community support; Cultural programs; Youth engagement
Australian Training Works Group,Indigenous Training Organization,Youth Employment,Cairns,Indigenous youth,"Work readiness courses, Workplace skills, Communication training"
Australian Youth Mentoring Network,Peak Body,Youth Mentoring,Australia-wide,Young people,Research hub; Program resources; Mentoring directory[16]
BABI Youth Drop-In,Community Service,Youth Support,Bayside area,Youth,"Drop-in services, Youth support, Safe space, Community connection"
Back to Community (54 Reasons),Non-Government Organization,Youth Reintegration,Mount Isa,Youth leaving detention,"Rights-based support, Trauma-informed care, Cultural responsiveness"
Back to Community (54 Reasons),Non-Government Organization,Youth Reintegration,Mount Isa,Youth leaving detention,"Rights-based support, Trauma-informed care, Cultural responsiveness"
Balance Project,Wellbeing Program,Youth Balance,Queensland,Youth,"Life balance, Wellbeing initiatives, Youth development"
Banana Shire Youth Service,Local Government Service,Youth Support,Biloela,Youth,Regional youth support; Community engagement; Recreational activities
BEATS Program,Skills Program,Youth Employment,Wide Bay Burnett,Youth,"Business skills, Entrepreneurship, Technical training"
Beaucare Community Youth Service,Non-Government Organization,Youth Support,Beaudesert,Youth,Case management; Youth programs; Community integration
Beyond DV Youth Program,Non-Government Organization,Domestic Violence Support,Brisbane,Youth affected by DV,"Holistic early intervention, Trauma reduction, Crime prevention"
